#, B(Y1), C(X2), D(Y2), E(X3), F(Y3), G(X4), H(Y4), I(X5), J(Y5), K(X6), L(Y6), M(X5), N(Y5), O(X6), P(Y6), Q(X5), R(Y5), S(X6), T(Y6)
#, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature, Time, Current density, Time, Temperature
#, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K, ps, 108 A/cm2, ps, K
#, 7.2 ps pulse, , 7.2 ps pulse, , 8.6 ps pulse, , 8.6 ps pulse, , 12.85 ps pulse, , 12.85 ps pulse, , 15.6 ps pulse, , 15.6 ps pulse, , 0.35 ns, , 0.35 ns
0, -0.061226044, 0, 293.1500005, -13.78, 0.690924969, -15, 293.1502275, -5.092, 0, 0, 293.1500353, -15, -0.13736463, -15, 293.1500025, 0, 0.101039631, 0, 293.1500024
0.244, 0.379465878, 0.002441662, 293.1500008, -13.536, 0.522011974, -14.9982153, 293.1503127, -4.848, -0.131118973, 0.002246102, 293.150052, -14.756, -0.292124756, -14.99696111, 293.1500046, 2, 0.099358745, 0.029899123, 293.1500084
0.488, 0.799216998, 0.004171501, 293.1500009, -13.292, 0.342680091, -14.9964306, 293.1503999, -4.604, -0.419375443, 0.004492204, 293.1500691, -14.512, -0.41984726, -14.99392221, 293.1500068, 4, 0.097117564, 0.059798246, 293.1500154
0.732, 1.188613944, 0.00763118, 293.1500012, -13.048, 0.156890147, -14.99286121, 293.150579, -4.36, -0.688105382, 0.008984408, 293.1501041, -14.268, -0.517665339, -14.98784443, 293.1500116, 6, 0.095623444, 0.119596491, 293.1500311
0.976, 1.539020735, 0.014550538, 293.1500016, -12.804, -0.03143511, -14.98929181, 293.150765, -4.116, -0.93260956, 0.013476613, 293.1501404, -14.024, -0.583683493, -14.98176664, 293.1500169, 8, 0.095996974, 0.239192983, 293.1500697
1.22, 1.842890317, 0.021469896, 293.1500018, -12.56, -0.218408266, -14.98215302, 293.1511572, -3.872, -1.148920419, 0.022461021, 293.1502165, -13.78, -0.616952622, -14.96961106, 293.1500292, 10, 0.097491095, 0.478385965, 293.1501513
1.464, 2.093814901, 0.035308612, 293.1500021, -12.316, -0.400363311, -14.97501423, 293.151574, -3.628, -1.33383018, 0.03144543, 293.1502965, -13.536, -0.617605435, -14.94529992, 293.150065, 12, 0.098985215, 0.956771931, 293.1502992
1.708, 2.286798988, 0.049147328, 293.1500026, -12.072, -0.5738604, -14.96073664, 293.1524714, -3.384, -1.484880597, 0.049414247, 293.1504653, -13.292, -0.586667779, -14.92098877, 293.1501102, 14, 0.09879845, 1.913543862, 293.1505312
1.952, 2.418271506, 0.076824759, 293.1500088, -11.828, -0.73583207, -14.93218147, 293.154568, -3.14, -1.600471055, 0.08535188, 293.1508262, -13.048, -0.526179726, -14.87236647, 293.1502441, 16, 0.095623444, 3.827087723, 293.1508231
2.196, 2.486227106, 0.132179622, 293.1500815, -11.584, -0.883539956, -14.87507114, 293.1593635, -2.896, -1.679855621, 0.157227148, 293.1515153, -12.804, -0.439056705, -14.77512188, 293.1507302, 18, 0.088713136, 5.740631585, 293.1510484
2.44, 2.490195208, 0.242889349, 293.1508604, -11.34, -1.014740262, -14.76085046, 293.1700412, -2.652, -1.723066581, 0.300977683, 293.1525044, -12.56, -0.328962443, -14.69449748, 293.1513129, 20, 0.078627822, 7.654175447, 293.1512615
2.684, 2.431317823, 0.350529833, 293.1527313, -11.096, -1.127658597, -14.53240911, 293.1907944, -2.408, -1.730927332, 0.473748058, 293.1530839, -12.316, -0.200269719, -14.62193553, 293.1519904, 22, 0.067048388, 9.567719308, 293.1514803
2.928, 2.31224249, 0.447406268, 293.1556468, -10.852, -1.221021249, -14.35158253, 293.2052983, -2.164, -1.705056955, 0.646518432, 293.1532715, -12.072, -0.057855715, -14.54937358, 293.1528305, 24, 0.056216013, 11.48126317, 293.1517049
3.172, 2.137032657, 0.64115914, 293.1686852, -10.608, -1.294071533, -14.17075595, 293.2171476, -1.92, -1.647654702, 0.726254124, 293.1533118, -11.828, 0.09301317, -14.46289496, 293.1540794, 26, 0.047811585, 13.4154713, 293.1519295
3.416, 1.911098806, 0.780691404, 293.1827658, -10.364, -1.346591257, -13.98992937, 293.2260565, -1.676, -1.561558112, 0.753466444, 293.1533219, -11.584, 0.246825891, -14.37641634, 293.1555662, 28, 0.043515989, 15.34967942, 293.1521295
3.66, 1.640993157, 0.920223668, 293.2020819, -10.12, -1.378866464, -13.62827621, 293.2370936, -1.432, -1.45009358, 0.776016193, 293.1533283, -11.34, 0.398036246, -14.28993772, 293.1572894, 30, 0.042768928, 17.09046673, 293.1522721
3.904, 1.334245645, 1.059755932, 293.2269696, -9.876, -1.39168147, -13.30615318, 293.2391373, -1.188, -1.316955901, 0.798565943, 293.1533336, -11.096, 0.541184758, -14.19633483, 293.1594182, 32, 0.044076284, 18.57883726, 293.1523613
4.148, 0.99917556, 1.338820461, 293.2901343, -9.632, -1.386233244, -12.98403015, 293.2359125, -0.944, -1.166144873, 0.821115692, 293.1533385, -10.852, 0.671084998, -14.11209223, 293.1615232, 34, 0.046317465, 20.06720779, 293.1524191
